_id,trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
250,11241070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
251,4800160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
252,1677010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
253,6642070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
254,6548070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
255,8662010,12,37,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
256,7540070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
257,5536010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
258,6250020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
259,381020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
260,13530010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
261,12893070,12,52,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
262,10963010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
263,5220010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
264,1140010,14,37,Fruitvale BART,"",1,14010,shp-14-09,0,0
265,8636010,14,37,Fruitvale BART,"",1,14005,shp-14-09,0,0
266,9961010,14,37,Fruitvale BART,"",1,14003,shp-14-09,0,0
267,471070,14,52,Fruitvale BART,"",1,14009,shp-14-09,0,0
268,742020,14,11,Fruitvale BART,"",1,14007,shp-14-09,0,0
269,3607020,14,11,Fruitvale BART,"",1,14005,shp-14-09,0,0
270,11170020,14,11,Fruitvale BART,"",1,14007,shp-14-09,0,0
271,9667070,14,52,Fruitvale BART,"",1,14003,shp-14-09,0,0
272,10956070,14,52,Fruitvale BART,"",1,14004,shp-14-09,0,0
273,13353070,14,52,Fruitvale BART,"",1,14003,shp-14-09,0,0
274,10275020,14,11,Fruitvale BART,"",1,14002,shp-14-09,0,0
275,9951010,14,37,Fruitvale BART,"",1,14008,shp-14-09,0,0
276,13654010,14,37,Fruitvale BART,"",1,14011,shp-14-09,0,0
277,7108020,14,11,Fruitvale BART,"",1,14004,shp-14-09,0,0
278,11716010,14,37,Fruitvale BART,"",1,14005,shp-14-09,0,0
279,8043070,14,52,Fruitvale BART,"",1,14003,shp-14-09,0,0
280,2455010,14,37,Fruitvale BART,"",1,14010,shp-14-09,0,0
281,13097070,14,52,Fruitvale BART,"",1,14010,shp-14-09,0,0
282,7538010,14,37,Fruitvale BART,"",1,14003,shp-14-09,0,0
283,2470010,14,37,Fruitvale BART,"",1,14011,shp-14-09,0,0
284,3457020,14,11,Fruitvale BART,"",1,14003,shp-14-09,0,0
285,10751070,14,52,Fruitvale BART,"",1,14004,shp-14-09,0,0
286,3684020,14,11,Fruitvale BART,"",1,14007,shp-14-09,0,0
287,1042070,14,52,Fruitvale BART,"",1,14005,shp-14-09,0,0
288,10944010,14,37,Fruitvale BART,"",1,14010,shp-14-09,0,0
289,411010,14,37,Fruitvale BART,"",1,14001,shp-14-09,0,0
290,7640070,14,52,Fruitvale BART,"",1,14012,shp-14-09,0,0
291,9959020,14,11,Fruitvale BART,"",1,14006,shp-14-09,0,0
292,13835020,14,11,Fruitvale BART,"",1,14006,shp-14-09,0,0
293,12640010,14,37,Fruitvale BART,"",1,14006,shp-14-09,0,0
294,4948070,14,52,Fruitvale BART,"",1,14003,shp-14-09,0,0
295,12180020,14,11,Fruitvale BART,"",1,14001,shp-14-09,0,0
296,5884010,14,37,Fruitvale BART,"",1,14006,shp-14-09,0,0
297,3802010,14,37,Fruitvale BART,"",1,14002,shp-14-09,0,0
298,7305020,14,11,Fruitvale BART,"",1,14004,shp-14-09,0,0
299,5201070,14,52,Fruitvale BART,"",1,14012,shp-14-09,0,0
300,5550020,14,11,Fruitvale BART,"",1,14007,shp-14-09,0,0
301,11303070,14,52,Fruitvale BART,"",1,14007,shp-14-09,0,0
302,4104020,14,11,Fruitvale BART,"",1,14003,shp-14-09,0,0
303,6877070,14,52,Fruitvale BART,"",1,14001,shp-14-09,0,0
304,5791070,14,52,Fruitvale BART,"",1,14006,shp-14-09,0,0
305,13724020,14,11,Fruitvale BART,"",1,14001,shp-14-09,0,0
306,2571010,14,37,Fruitvale BART,"",1,14005,shp-14-09,0,0
307,5749010,14,37,Fruitvale BART,"",1,14006,shp-14-09,0,0
308,3144010,14,37,Fruitvale BART,"",1,14011,shp-14-09,0,0
309,1226010,14,37,Fruitvale BART,"",1,14002,shp-14-09,0,0
310,8652010,14,37,Fruitvale BART,"",1,14008,shp-14-09,0,0
311,12789070,14,52,Fruitvale BART,"",1,14004,shp-14-09,0,0
312,9552020,14,11,Fruitvale BART,"",1,14007,shp-14-09,0,0
313,4827070,14,52,Fruitvale BART,"",1,14009,shp-14-09,0,0
314,9151020,14,11,Fruitvale BART,"",1,14002,shp-14-09,0,0
315,4267070,14,52,Fruitvale BART,"",1,14012,shp-14-09,0,0
316,6784010,14,37,Fruitvale BART,"",1,14009,shp-14-09,0,0
317,6939010,14,37,Fruitvale BART,"",1,14007,shp-14-09,0,0
318,1740020,14,11,Fruitvale BART,"",1,14001,shp-14-09,0,0
319,9740070,14,52,Fruitvale BART,"",1,14006,shp-14-09,0,0
320,82070,14,52,Fruitvale BART,"",1,14006,shp-14-09,0,0
321,11198070,14,52,Fruitvale BART,"",1,14001,shp-14-09,0,0
322,8123020,14,11,Fruitvale BART,"",1,14006,shp-14-09,0,0
323,5616070,14,52,Fruitvale BART,"",1,14005,shp-14-09,0,0
324,1187020,14,11,Fruitvale BART,"",1,14004,shp-14-09,0,0
325,11318070,14,52,Fruitvale BART,"",1,14012,shp-14-09,0,0
326,7473020,14,11,Fruitvale BART,"",1,14004,shp-14-09,0,0
327,7645010,14,37,Fruitvale BART,"",1,14009,shp-14-09,0,0
328,11567010,14,37,Fruitvale BART,"",1,14001,shp-14-09,0,0
329,2666010,14,37,Fruitvale BART,"",1,14007,shp-14-09,0,0
330,9846070,14,52,Fruitvale BART,"",1,14011,shp-14-09,0,0
331,6602010,14,37,Fruitvale BART,"",1,14001,shp-14-09,0,0
332,10349010,14,37,Fruitvale BART,"",1,14007,shp-14-09,0,0
333,10876070,14,52,Fruitvale BART,"",1,14005,shp-14-09,0,0
334,3051070,14,52,Fruitvale BART,"",1,14010,shp-14-09,0,0
335,1494070,14,52,Fruitvale BART,"",1,14010,shp-14-09,0,0
336,10490020,14,11,Fruitvale BART,"",1,14005,shp-14-09,0,0
337,10084070,14,52,Fruitvale BART,"",1,14009,shp-14-09,0,0
338,7892070,14,52,Fruitvale BART,"",1,14002,shp-14-09,0,0
